-51,-65,,-21,,-45,,,-26,-35,-15,44
,69,44,,75,,-44,,,50,-79,
15,68,,,-3,,,45,,,,-92
-75,,-47,50,-25,37,,-45,-95,89,-57,78
,-2,63,79,,84,100,14,3,2,-25,98
-52,-33,-56,-19,-63,-81,41,-39,-72,93,,53
-70,,,-14,96,,-83,22,0,,-48,-2
66,-97,,,4,-62,67,,56,,-64,
,77,-44,-41,-31,-83,,50,,72,,
22,-44,-61,,,43,24,52,45,-13,19,
76,-63,,-17,,,-74,-71,67,-19,40,
-3,4,89,19,,,-11,49,,79,22,-80
-79,,72,66,-17,-58,66,-90,31,21,44,79
11,,,-70,-47,52,-31,,,,-29,
85,59,-23,,-62,,,-42,,62,,-21
,40,41,38,-88,,-83,23,,,52,
28,,,34,,,-37,64,37,91,-17,73
93,-27,,90,,,,,50,10,-21,60
46,47,-65,1,76,,9,-45,57,-84,89,36
,-97,,31,,34,-44,37,,-61,-73,
,-52,,98,,-32,-42,-46,,-7,55,40
-70,-85,96,,-70,36,27,-76,38,26,,-19
-88,-87,,,-48,-51,,0,-4,,,-97
,6,10,,,,-24,-68,-70,-77,-78,-42
58,48,34,,-75,-9,28,-64,4,-2,-95,54
98,,-94,,,-98,-51,93,59,58,80,8
73,,40,,,61,-88,86,-40,46,80,-17
,-41,20,-61,,76,,6,98,,51,20
-97,99,-34,62,8,,,-68,,61,,
-27,,64,32,93,-5,,81,53,-14,,-40
-86,,,,,-31,35,,-81,100,-19,25
96,2,,98,-86,93,,38,,43,,32
,,-87,42,-27,,,-14,,72,-52,66
,82,-14,-90,34,,87,-19,-29,-5,,35
,,,,1,,11,-11,,23,,
57,,36,7,7,83,,-1,17,10,8,
-21,,-70,,41,-40,-64,80,-82,-92,6,69
,,,,-10,,-71,,75,64,4,-68
-53,-24,31,,,,64,-85,-63,,,76
-43,-98,-44,-26,-39,,,12,80,,-10,-80
,18,-81,17,,22,,-21,,-68,,85
-26,,,62,53,,-61,,,46,-66,
11,-20,-7,-58,-17,,-37,-74,-49,-19,94,-18
,-5,62,,79,,-11,,14,-7,66,-83
-89,,,,1,-89,,,42,8,-95,
-59,19,,43,99,95,,,,38,7,66
-56,,71,57,-61,-64,,-51,,,-68,42
,-53,58,6,54,62,-71,,,-70,-12,
,-88,33,,50,,31,,,-47,53,
40,-22,-76,82,,7,-24,,53,,-51,-43
