task> taski 500
Task manager is initialized (500)

task> taskn -n cjvdo 9393
Task node inserted: (cjvdo, 9393)

task> taskn -n hddaj 5960
Task node inserted: (hddaj, 5960)

task> taskn -n sjxpu 7577
Task node inserted: (sjxpu, 7577)

task> taskn -n ussol 2730
Task node inserted: (ussol, 2730)

task> taskn -n jhxfu 9902
Task node inserted: (jhxfu, 9902)

task> taskn -n wxjsa 9297
Task node inserted: (wxjsa, 9297)

task> taskn -n qibui 4349
Task node inserted: (qibui, 4349)

task> taskn -n jbuhq 5764
Task node inserted: (jbuhq, 5764)

task> taskn -n alhtz 7583
Task node inserted: (alhtz, 7583)

task> taskn -n ajaxp 8291
Task node inserted: (ajaxp, 8291)

task> taskn -n xlsgd 7585
Task node inserted: (xlsgd, 7585)

task> taskn -n etcfn 4253
Task node inserted: (etcfn, 4253)

task> taskn -n rxmle 1022
Task node inserted: (rxmle, 1022)

task> taskn -n afnhy 5265
Task node inserted: (afnhy, 5265)

task> taskn -n byxbw 4862
Task node inserted: (byxbw, 4862)

task> taskn -n wtypz 621
Task node inserted: (wtypz, 621)

task> taskn -n idvkj 3652
Task node inserted: (idvkj, 3652)

task> taskn -n vaghm 4461
Task node inserted: (vaghm, 4461)

task> taskn -n kmqyu 5775
Task node inserted: (kmqyu, 5775)

task> taskn -n mvnjx 3756
Task node inserted: (mvnjx, 3756)

task> taskn -n vudtj 1030
Task node inserted: (vudtj, 1030)

task> taskn -n vsgqd 6283
Task node inserted: (vsgqd, 6283)

task> taskn -n ayqhg 1234
Task node inserted: (ayqhg, 1234)

task> taskn -n srpip 3861
Task node inserted: (srpip, 3861)

task> taskn -n xbfll 933
Task node inserted: (xbfll, 933)

task> taskn -n vgwya 2348
Task node inserted: (vgwya, 2348)

task> taskn -n avyhm 430
Task node inserted: (avyhm, 430)

task> taskn -n xmzot 2552
Task node inserted: (xmzot, 2552)

task> taskn -n rmxhv 5381
Task node inserted: (rmxhv, 5381)

task> taskn -n qtpwe 231
Task node inserted: (qtpwe, 231)

task> taskn -n yzhvx 2959
Task node inserted: (yzhvx, 2959)

task> taskn -n bydzf 6091
Task node inserted: (bydzf, 6091)

task> taskn -n accar 8617
Task node inserted: (accar, 8617)

task> taskn -n hiiep 1245
Task node inserted: (hiiep, 1245)

task> taskn -n sgwid 236
Task node inserted: (sgwid, 236)

task> taskn -n ibzqw 9226
Task node inserted: (ibzqw, 9226)

task> taskn -n xxvaw 440
Task node inserted: (xxvaw, 440)

task> taskn -n qxesx 8420
Task node inserted: (qxesx, 8420)

task> taskn -n oeewj 7916
Task node inserted: (oeewj, 7916)

task> taskn -n zcavk 1554
Task node inserted: (zcavk, 1554)

task> taskn -n wtfwj 848
Task node inserted: (wtfwj, 848)

task> taskn -n thzpi 9030
Task node inserted: (thzpi, 9030)

task> taskn -n qyuuq 7112
Task node inserted: (qyuuq, 7112)

task> taskn -n qfxub 2669
Task node inserted: (qfxub, 2669)

task> taskn -n objpw 8023
Task node inserted: (objpw, 8023)

task> taskn -n ttozp 9337
Task node inserted: (ttozp, 9337)

task> taskn -n bjfby 5197
Task node inserted: (bjfby, 5197)

task> taskn -n yplsk 855
Task node inserted: (yplsk, 855)

task> taskn -n lahiv 3482
Task node inserted: (lahiv, 3482)

